##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR2589044_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1107090
Total Bases	166 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.821840139464726	34.0	31.0	34.0	31.0	34.0
2	33.0142273889205	34.0	31.0	34.0	31.0	34.0
3	33.12146979920332	34.0	33.0	34.0	31.0	34.0
4	36.566376717340056	37.0	37.0	37.0	35.0	37.0
5	36.52300987272941	37.0	37.0	37.0	35.0	37.0
6	36.528569492995146	37.0	37.0	37.0	35.0	37.0
7	36.500307111436285	37.0	37.0	37.0	35.0	37.0
8	36.49521809428321	37.0	37.0	37.0	35.0	37.0
9	38.306862134063174	39.0	39.0	39.0	37.0	39.0
10-14	38.578459384512556	39.4	39.2	39.4	37.2	39.4
15-19	39.78953219702102	41.0	40.0	41.0	38.0	41.0
20-24	39.65734529261397	41.0	40.0	41.0	37.4	41.0
25-29	39.406846417183786	41.0	39.2	41.0	36.8	41.0
30-34	39.213125942786945	40.0	39.0	41.0	36.0	41.0
35-39	38.97399380357514	40.0	38.6	41.0	35.4	41.0
40-44	38.56683630057177	40.0	37.8	41.0	35.0	41.0
45-49	37.84495497204382	39.6	36.4	41.0	34.0	41.0
50-54	37.00459149662629	38.2	35.0	40.4	33.0	41.0
55-59	36.01808163744592	36.4	35.0	39.4	32.8	41.0
60-64	35.05382037594053	35.0	35.0	37.6	32.0	40.0
65-69	34.27207327317562	35.0	34.2	35.8	31.0	38.4
70-74	33.70382931830294	35.0	34.0	35.0	31.0	36.6
75-79	33.255242121236755	35.0	34.0	35.0	30.0	35.8
80-84	32.92317246113685	35.0	33.2	35.0	29.2	35.0
85-89	32.63320163672331	35.0	33.0	35.0	29.0	35.0
90-94	32.34160781869586	35.0	33.0	35.0	27.8	35.0
95-99	32.07739786286571	35.0	33.0	35.0	27.0	35.0
100-104	31.339699572753794	33.8	31.8	34.8	26.0	35.0
105-109	32.11113911244795	35.0	33.0	35.0	27.0	35.0
110-114	31.89066796737393	35.0	33.0	35.0	27.0	35.0
115-119	31.47048388116594	34.6	33.0	35.0	25.0	35.0
120-124	31.023145001761378	34.0	32.0	35.0	23.8	35.0
125-129	30.509188954827522	34.0	31.2	35.0	20.8	35.0
130-134	29.91843499625143	34.0	31.0	35.0	16.2	35.0
135-139	29.308473565834753	34.0	30.0	35.0	5.2	35.0
140-144	28.561218690440704	33.2	29.0	35.0	2.0	35.0
145-149	27.577741827674355	33.0	27.8	35.0	2.0	35.0
150	26.986139338265183	33.0	27.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1104	6	-0.0029185337513126797
1104	7	0.016142485096317216
1104	8	0.06372841313477551
1104	9	0.04191625607497684
1104	10-14	-0.03032881375272467
1104	15-19	0.019354895816313444
1104	20-24	0.010582659808534345
1104	25-29	0.12510221221670292
1104	30-34	0.10196820276689778
1104	35-39	-0.05902780650448136
1104	40-44	-0.08315146656592987
1104	45-49	-0.14013756846623693
1104	50-54	-0.19982580332172972
1104	55-59	-0.10934722860680068
1104	60-64	-0.20208698518281665
1104	65-69	-0.18701549899591186
1104	70-74	-0.291757089063303
1104	75-79	-0.35878115394795174
1104	80-84	-0.34213457020138094
1104	85-89	-0.33177878410814543
1104	90-94	-0.5407515384441517
1104	95-99	-0.5978094085094732
1104	100-104	-0.7193716216056494
1104	105-109	-0.5870349091604652
1104	110-114	-0.6636698446125742
1104	115-119	-0.6232699656579364
1104	120-124	-0.7594271001840731
1104	125-129	-0.7288584755814291
1104	130-134	-0.7568977546717939
1104	135-139	-0.9608964373398372
1104	140-144	-1.0153885316167823
1104	145-149	-1.0598176933357948
1104	150	-1.1195546160968846
1105	1	0.09107367412108403
1105	2	0.12204970875468035
1105	3	0.017722636791134505
1105	4	0.004924555966653088
1105	5	-0.026949623671676193
1105	6	-0.031112177095558025
1105	7	-0.0026780920680522513
1105	8	-0.03965836019475688
1105	9	0.07893703703199861
1105	10-14	0.022811438708217224
1105	15-19	0.02716942899311192
1105	20-24	-0.008458925369509984
1105	25-29	-0.009134177954720712
1105	30-34	-0.03690175611785662
1105	35-39	-0.07716938501351223
1105	40-44	-0.043015480722857546
1105	45-49	-0.1461465049446531
1105	50-54	-0.2148675311856465
1105	55-59	-0.14591032910882973
1105	60-64	-0.26627887907415015
1105	65-69	-0.24665943569922177
1105	70-74	-0.38459193171335926
1105	75-79	-0.41459847260117755
1105	80-84	-0.6609998142485196
1105	85-89	-0.7097128787430016
1105	90-94	-0.840949902829756
1105	95-99	-1.0418114061117336
1105	100-104	-1.0743539177005523
1105	105-109	-0.9232437764672454
1105	110-114	-0.9448193344330171
1105	115-119	-0.922581816495363
1105	120-124	-0.9440882134751121
1105	125-129	-0.9756619242370022
1105	130-134	-1.0132780621598592
1105	135-139	-1.0042389780479617
1105	140-144	-0.9639606647551098
1105	145-149	-1.2546428488556387
1105	150	-1.4037119862100873
1106	1	0.10327731948528651
1106	2	0.008519747944646383
1106	3	0.046271509986894444
1106	4	0.007042832201740623
1106	5	-0.048873597216591236
1106	6	-0.058651994011199804
1106	7	-0.03509105725412809
1106	8	-0.07122920855882597
1106	9	-0.012886342505233017
1106	10-14	-0.10035115142053996
1106	15-19	-0.09329111616438723
1106	20-24	-0.08607271501391978
1106	25-29	-0.023987486398006297
1106	30-34	-0.12952926447594848
1106	35-39	-0.25174042480148273
1106	40-44	-0.23055838416359364
1106	45-49	-0.34696072432833347
1106	50-54	-0.37558363468514244
1106	55-59	-0.291866610261593
1106	60-64	-0.3109630073608258
1106	65-69	-0.28984363150362213
1106	70-74	-0.41085692473157565
1106	75-79	-0.47843137288119664
1106	80-84	-0.7099448310685901
1106	85-89	-0.7333946876841324
1106	90-94	-0.888988549685287
1106	95-99	-0.7896375575859196
1106	100-104	-1.0596381673707533
1106	105-109	-0.8932521011815595
1106	110-114	-0.9488436883031213
1106	115-119	-0.8592001721194436
1106	120-124	-0.814376106135267
1106	125-129	-1.0234466747255766
1106	130-134	-1.1664235725271723
1106	135-139	-1.3288344280944813
1106	140-144	-1.2920806890318133
1106	145-149	-1.2188100732237572
1106	150	-1.1161331722370313
1107	1	0.18130853197028074
1107	2	0.1235676673499384
1107	3	0.06353518505311939
1107	4	0.051971730126709303
1107	5	-0.009341157162182867
1107	6	-0.029233813437308243
1107	7	-0.037713721521733135
1107	8	0.015747862554654546
1107	9	-0.02659705244241195
1107	10-14	-0.056024489639440844
1107	15-19	-0.05337985474770335
1107	20-24	-0.08234181647873129
1107	25-29	-0.11461233491222345
1107	30-34	-0.1430397993312198
1107	35-39	-0.21358483002200757
1107	40-44	-0.2846805080725332
1107	45-49	-0.3090563464251517
1107	50-54	-0.2975192022613413
1107	55-59	-0.16498654707242366
1107	60-64	-0.26175700667075574
1107	65-69	-0.271985561909986
1107	70-74	-0.2839040057967779
1107	75-79	-0.30879396922615143
1107	80-84	-0.3919949432749945
1107	85-89	-0.5121618715172858
1107	90-94	-0.5023629255639044
